state|population
Mississippi|75448
Delaware|72749
Illinois|55211
Arkansas|14273
Indiana|147178
Maryland|407350
Louisiana|153407
Tennessee|422813
Michigan|7452
Virginia|938261
Connecticut|275202
Massachusetts|523287
West Virginia|136808
South Carolina|502741
New Hampshire|244161
Wisconsin|1444
Vermont|235764
Georgia|340989
Pennsylvania|1049458
Kentucky|564317
Missouri|66586
Ohio|581434
Alabama|127901
New York|1372812
New Jersey|277575
North Carolina|638829
District of Columbia|23336
Maine|298335
Rhode Island|83059
