state|population|is a state
Mississippi|136621|true
Delaware|76748|true
Illinois|157445|true
Arkansas|30388|false
Indiana|343031|true
Maryland|447040|true
Louisiana|215739|true
Tennessee|681904|true
Michigan|28004|false
Virginia|1044054|true
Connecticut|297675|true
Massachusetts|610408|true
West Virginia|176924|false
South Carolina|581185|true
New Hampshire|269328|true
Wisconsin|3635|false
Vermont|280652|true
Georgia|516823|true
Pennsylvania|1348233|true
Florida|34730|false
Kentucky|687917|true
Missouri|140455|true
Ohio|937903|true
Alabama|309527|true
New York|1918608|true
New Jersey|320823|true
North Carolina|737987|true
District of Columbia|30261|true
Maine|399455|true
Rhode Island|97199|true
