state|is a state
Mississippi|true
Delaware|true
Minnesota|false
Illinois|true
Arkansas|true
New Mexico|false
Indiana|true
Maryland|true
Louisiana|true
Tennessee|true
Iowa|true
Michigan|true
Utah|false
Virginia|true
Oregon|false
Connecticut|true
California|false
Massachusetts|true
West Virginia|false
South Carolina|true
New Hampshire|true
Wisconsin|true
Vermont|true
Georgia|true
Pennsylvania|true
Florida|true
Kentucky|true
Missouri|true
Ohio|true
Alabama|true
New York|true
New Jersey|true
Washington|false
North Carolina|true
District of Columbia|true
Texas|true
Maine|true
Rhode Island|true
